City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bakersfield,1,US,1553618193,50,35.37,-119.02,16.67,1.31
Waipawa,48,NZ,1553616555,59,-39.94,176.59,18.89,8.94
Bluff,88,AU,1553618353,73,-23.58,149.07,25.19,2.71
Vaini,0,IN,1553618454,92,15.34,74.49,22.24,0.41
Tacuarembo,76,UY,1553618451,74,-31.73,-55.98,19.69,6.21
Port Elizabeth,1,US,1553618448,24,39.31,-74.98,8.89,5.7
Kavieng,64,PG,1553618454,100,-2.57,150.8,28.39,3.66
Salalah,20,OM,1553615400,74,17.01,54.1,27.0,2.6
Tiksi,0,RU,1553618248,27,71.64,128.87,-28.37,1.26
Kahului,20,US,1553618429,68,20.89,-156.47,22.0,4.1
Ambon,0,FR,1553618433,44,47.55,-2.56,15.0,4.6
Lorengau,68,PG,1553618455,97,-2.02,147.27,28.29,4.26
Saint-Augustin,0,FR,1553618434,33,44.83,-0.61,16.0,6.7
Anadyr,75,RU,1553617947,84,64.73,177.51,0.0,17.0
Spokane,75,US,1553618196,75,47.66,-117.42,7.22,3.6
New Norfolk,20,AU,1553618241,62,-42.78,147.06,11.0,3.6
Ayagoz,0,KZ,1553618456,69,47.96,80.43,-7.47,2.11
Sao Joao da Barra,20,BR,1553616000,43,-21.64,-41.05,31.0,4.1
Chuy,80,UY,1553618456,89,-33.69,-53.46,19.89,5.76
Shiraz,40,IR,1553616000,67,29.61,52.54,14.0,4.1
Lerwick,75,GB,1553615400,93,60.15,-1.15,10.0,7.2
Saint George,40,GR,1553617200,62,39.45,22.34,17.0,3.1
Karratha,68,AU,1553618456,93,-20.74,116.85,24.94,2.11
Hobart,20,AU,1553618241,62,-42.88,147.33,11.0,3.6
Opuwo,76,NA,1553618457,79,-18.06,13.84,19.04,1.21
Saint Anthony,1,US,1553618116,60,43.97,-111.68,10.0,2.6
Constitucion,75,MX,1553618415,39,23.99,-104.67,18.89,3.1
Shakawe,48,BW,1553618457,23,-18.36,21.84,28.84,3.56
Vestmannaeyjar,20,IS,1553616000,84,63.44,-20.27,6.0,7.7
Mataura,8,NZ,1553618405,66,-46.19,168.86,15.0,1.79
Saskylakh,88,RU,1553618457,68,71.97,114.09,-12.47,1.86
Hambantota,0,LK,1553613000,83,6.12,81.12,27.0,2.1
Khartoum,0,SD,1553616000,10,15.59,32.54,31.0,6.2
Upernavik,44,GL,1553618457,100,72.79,-56.15,-13.72,3.91
Peleduy,76,RU,1553618259,84,59.63,112.75,-9.52,1.11
Ansalta,12,RU,1553618458,96,42.69,46.12,-0.92,0.71
Palmer,1,US,1553618445,86,61.6,-149.11,0.0,1.5
Saint-Philippe,1,CA,1553618443,41,45.36,-73.48,-2.22,4.1
Kodiak,75,US,1553618051,70,39.95,-94.76,12.22,3.1
Lebu,40,ET,1553616000,27,8.96,38.73,24.0,5.1
Kirakira,0,SB,1553618458,100,-10.46,161.92,28.29,4.66
Kattivakkam,0,IN,1553618011,74,13.22,80.32,29.0,3.1
Hermanus,64,ZA,1553617960,77,-34.42,19.24,23.89,5.36
Quatre Cocos,40,MU,1553618046,83,-20.21,57.76,28.0,3.1
Meadow Lake,90,CA,1553616000,94,54.13,-108.44,2.0,1.5
Bredasdorp,36,ZA,1553617960,68,-34.53,20.04,20.0,7.2
Vorukh,20,KG,1553618459,90,39.85,70.57,-4.02,0.46
Sitka,12,US,1553617802,67,37.17,-99.65,14.44,5.36
Sambava,32,MG,1553618459,100,-14.27,50.17,27.64,1.51
El Dorado,0,VE,1553618459,34,6.71,-61.64,35.14,1.76
Mahajanga,20,MG,1553616000,78,-15.72,46.32,28.0,2.1
Umm Lajj,0,SA,1553618460,96,25.02,37.27,17.64,2.71
Bodden Town,40,KY,1553616004,74,19.28,-81.25,29.0,4.6
Faya,40,SA,1553616000,72,18.39,42.45,18.0,5.7
Oskemen,20,KZ,1553616000,100,49.96,82.61,-5.0,1.0
Kapaa,90,US,1553617926,73,22.08,-159.32,23.0,6.2
Hithadhoo,68,MV,1553618460,100,-0.6,73.08,29.29,1.31
Nador,75,MA,1553616000,82,35.17,-2.93,16.0,7.2
Provideniya,88,RU,1553618461,89,64.42,-173.23,-0.12,13.66
Vao,64,EE,1553618175,78,59.1,26.19,-0.77,5.41
San Cristobal,40,EC,1553617824,52,-0.39,-78.55,21.0,2.1
Santa Fe,64,AR,1553618451,43,-31.62,-60.7,25.56,2.68
Vila Velha,40,BR,1553617593,83,-3.71,-38.6,27.22,1.0
Ixtapa,5,MX,1553618412,53,20.71,-105.21,25.0,0.76
Novyy Oskol,92,RU,1553618462,73,50.76,37.86,5.49,3.76
Sungaipenuh,56,ID,1553618211,95,-2.08,101.38,19.79,0.11
Bridgetown,5,CA,1553617957,100,44.84,-65.29,0.0,6.7
Aswan,0,EG,1553612400,14,24.09,32.9,25.0,5.1
Bethel,40,US,1553616060,100,60.79,-161.76,0.0,4.6
Mocajuba,88,BR,1553618463,94,-2.58,-49.5,25.54,1.41
Moron,0,VE,1553618463,49,10.49,-68.2,30.74,1.61
Georgetown,75,GY,1553616000,70,6.8,-58.16,30.0,6.2
Ganzhou,100,CN,1553618464,95,25.86,114.93,17.14,1.06
Tautira,20,PF,1553616000,78,-17.73,-149.15,25.0,1.5
Pisco,20,PE,1553616000,30,-13.71,-76.2,22.0,4.1
Pitkyaranta,56,RU,1553618336,77,61.57,31.48,-2.77,4.71
Noumea,0,NC,1553616000,78,-22.28,166.46,22.0,0.5
Sibu,75,MY,1553616000,94,2.29,111.83,24.0,1.5
Butaritari,88,KI,1553618290,100,3.07,172.79,27.89,7.36
Show Low,1,US,1553618144,18,34.25,-110.03,20.0,6.2
Rio Gallegos,40,AR,1553616000,38,-51.62,-69.22,15.0,4.6
Geraldton,90,CA,1553616000,24,49.72,-86.95,1.0,6.7
Torbay,90,CA,1553617967,35,47.66,-52.73,-1.11,3.6
Dubai,0,AE,1553617754,51,25.27,55.3,30.0,7.7
Huarmey,8,PE,1553618466,57,-10.07,-78.15,26.04,1.91
Mersing,92,MY,1553618466,78,2.43,103.84,28.14,4.36
Faanui,68,PF,1553618466,100,-16.48,-151.75,27.84,4.51
Pandan,92,PH,1553618466,100,11.72,122.09,26.54,8.86
Kindu,56,CD,1553618466,82,-2.95,25.92,25.14,0.61
Port Alfred,80,ZA,1553618224,87,-33.59,26.89,19.29,2.01
Hammerfest,90,NO,1553615400,74,70.66,23.68,-1.0,2.1
Dikson,92,RU,1553618467,92,73.51,80.55,-3.52,9.26
Homer,1,US,1553618251,86,59.64,-151.54,3.89,4.36
Cherskiy,76,RU,1553618467,75,68.75,161.3,-12.77,6.41
Naze,32,NG,1553618467,70,5.43,7.07,29.04,1.31
Pak Kret,20,TH,1553618408,79,13.91,100.5,31.11,3.1
Chapais,1,CA,1553616000,43,49.78,-74.86,-10.0,7.2
Maceio,75,BR,1553616000,83,-9.67,-35.74,26.0,2.1
Klang,75,MY,1553618434,83,3.05,101.45,28.0,1.0
Altagracia de Orituco,0,VE,1553618468,36,9.86,-66.38,35.04,5.46
Trotwood,1,US,1553618223,40,39.8,-84.31,6.67,2.6
Harper,1,US,1553618432,55,30.3,-99.24,21.11,3.1
Atuona,0,PF,1553618468,100,-9.8,-139.03,27.49,6.11
Kaitangata,56,NZ,1553618469,63,-46.28,169.85,12.64,2.41
Boa Vista,20,BR,1553616000,36,2.82,-60.67,34.0,5.1
Manado,20,ID,1553616000,94,1.49,124.85,24.0,0.56
Lincoln,40,US,1553618242,66,40.8,-96.67,12.78,6.2
Arraial do Cabo,20,BR,1553616000,58,-22.97,-42.02,31.0,2.1
Atikokan,76,CA,1553618470,46,48.76,-91.62,3.39,3.56
Muros,0,ES,1553618194,45,42.77,-9.06,24.0,4.6
Leningradskiy,48,RU,1553618470,80,69.38,178.42,-4.72,9.06
Narsaq,75,GL,1553615400,38,60.91,-46.05,-5.0,7.2
Basco,1,US,1553618429,26,40.33,-91.2,8.89,2.36
Cidreira,32,BR,1553618470,74,-30.17,-50.22,23.24,3.96
Kamina,24,CD,1553618308,95,-8.74,25.0,20.49,1.21
Lazaro Cardenas,75,MX,1553618364,43,28.39,-105.62,20.0,3.01
Fort Nelson,75,CA,1553616000,58,58.81,-122.69,0.0,1.0
Norman Wells,75,CA,1553616000,96,65.28,-126.83,0.0,4.1
Klaksvik,88,FO,1553615400,75,62.23,-6.59,7.0,11.3
Luderitz,0,NA,1553618471,79,-26.65,15.16,17.94,4.71
Dingle,76,PH,1553618471,88,11.0,122.67,24.59,4.66
Rio Grande,40,BR,1553616000,73,-32.03,-52.1,22.0,4.1
Rapar,0,IN,1553618471,32,23.57,70.65,23.74,1.71
Haines Junction,76,CA,1553618212,86,60.75,-137.51,-1.12,1.21
Aklavik,75,CA,1553616000,92,68.22,-135.01,-2.0,2.1
Nikolskoye,90,RU,1553618435,100,59.7,30.79,0.0,5.0
Sobolevo,8,RU,1553618472,66,54.43,31.9,-2.12,3.11
Victoria,75,BN,1553616000,94,5.28,115.24,26.0,1.0
Belaya Gora,36,RU,1553618217,42,68.54,146.19,-25.62,2.76
Valdivia,0,CL,1553616000,59,-39.81,-73.25,18.0,2.1
Pithoro,8,PK,1553618473,47,25.52,69.38,24.39,1.16
Yulara,0,AU,1553616000,37,-25.24,130.99,19.0,3.1
Hasaki,0,JP,1553617477,100,35.73,140.83,10.0,6.2
Sorland,75,NO,1553615400,80,67.67,12.69,1.0,14.4
Longyearbyen,75,NO,1553615400,72,78.22,15.63,-10.0,2.1
Oktyabrskoye,0,RU,1553618422,58,56.73,85.44,-1.67,2.0
Trento,0,IT,1553618466,11,46.07,11.13,15.0,5.7
Devanhalli,20,IN,1553616000,34,13.23,77.7,28.0,3.6
Carnarvon,32,ZA,1553618474,27,-30.97,22.13,17.44,2.96
Fortuna,40,ES,1553618438,55,38.18,-1.13,17.0,6.7
Yellowknife,20,CA,1553618391,79,62.45,-114.38,-3.33,4.1
Ilulissat,90,GL,1553615400,85,69.22,-51.1,-11.0,6.7
Necochea,0,AR,1553617918,60,-38.55,-58.74,17.22,3.58
Hermiston,1,US,1553618464,61,45.84,-119.29,11.11,5.1
Sao Gabriel da Cachoeira,40,BR,1553616000,70,-0.13,-67.09,32.0,2.6
Puerto del Rosario,75,ES,1553616000,77,28.5,-13.86,20.0,0.5
Praia,40,BR,1553616000,42,-20.25,-43.81,30.0,2.6
Sarkand,12,KZ,1553618475,78,45.41,79.91,4.49,1.16
Vila Franca do Campo,20,PT,1553618453,72,37.72,-25.43,16.0,6.2
Melfi,90,IT,1553615700,86,41.0,15.66,11.0,5.1
Antalaha,68,MG,1553618476,93,-14.9,50.28,27.49,2.31
Kruisfontein,48,ZA,1553618476,86,-34.0,24.73,15.24,2.11
Saiki,0,JP,1553618476,100,32.95,131.89,9.69,1.36
Lompoc,90,US,1553618415,87,34.64,-120.46,14.44,3.1
Pangody,88,RU,1553618476,92,65.85,74.49,0.59,11.86
Lixourion,20,GR,1553618388,63,38.2,20.43,18.0,3.21
Hamilton,90,BM,1553617911,93,32.3,-64.78,19.44,4.6
Lasa,20,CY,1553617956,55,34.92,32.53,16.0,0.5
Hobyo,100,SO,1553618478,85,5.35,48.53,27.79,5.96
Kasane,0,BW,1553616000,17,-17.8,25.16,34.0,3.6
Port Lavaca,1,US,1553618226,56,28.61,-96.63,22.78,6.7
Labuhan,48,ID,1553618479,92,-2.54,115.51,24.04,0.71
Presidencia Roque Saenz Pena,92,AR,1553618479,71,-26.79,-60.44,18.29,6.61
Arman,76,RU,1553618480,65,59.7,150.17,-12.52,2.86
Jian,24,IN,1553618480,75,25.65,87.89,18.64,3.01
Port Augusta,0,AU,1553616000,72,-32.49,137.76,17.0,4.1
Rawson,0,AR,1553618481,44,-43.3,-65.11,22.44,6.11
Raudeberg,75,NO,1553618104,93,61.99,5.14,7.78,6.2
Bereda,0,ES,1553618403,45,43.27,-7.54,17.0,7.7
Vila Praia de Ancora,0,PT,1553618354,23,41.81,-8.85,24.0,4.6
Namatanai,48,PG,1553618273,100,-3.66,152.44,27.24,5.21
Pontian Kecil,75,MY,1553616000,94,1.48,103.39,29.0,5.56
Namyslow,75,PL,1553618425,56,51.08,17.72,7.22,8.7
Batagay,0,RU,1553618482,31,67.65,134.64,-30.02,1.26
Hilo,20,US,1553618182,72,19.71,-155.08,17.78,2.6
Coos Bay,1,US,1553617916,81,43.37,-124.22,7.78,2.6
Cockburn Town,36,TC,1553618454,100,21.46,-71.14,24.94,1.96
Castro,0,CL,1553616000,55,-42.48,-73.76,19.0,3.6
Corpus Christi,1,US,1553618291,60,27.8,-97.4,24.0,7.7
Isangel,88,VU,1553612400,83,-19.55,169.27,23.0,2.1
Hofn,0,IS,1553618224,90,64.25,-15.21,5.29,6.76
Port Moresby,56,PG,1553618483,100,-9.47,147.16,27.24,2.56
Berlevag,75,NO,1553615400,74,70.86,29.09,-1.0,8.7
Hami,92,CN,1553618483,51,42.84,93.51,6.64,2.06
Khatanga,88,RU,1553618199,91,71.98,102.47,-3.32,5.51
Calabozo,0,VE,1553618483,34,8.92,-67.43,36.34,5.76
Gimli,0,CA,1553618428,85,50.63,-96.99,0.56,2.24
Kutum,0,SD,1553618294,38,14.2,24.66,22.59,1.16
Praia da Vitoria,20,PT,1553617898,77,38.73,-27.07,18.89,3.21
Angoche,20,MZ,1553618484,100,-16.23,39.91,27.44,5.71
Tecpan,20,GT,1553617803,46,14.76,-90.99,22.0,12.3
Peruibe,12,BR,1553618422,100,-24.32,-47.0,26.64,2.56
Okhotsk,80,RU,1553618484,91,59.36,143.24,-10.27,3.26
East London,0,ZA,1553616000,68,-33.02,27.91,19.0,2.1
Lekoni,44,GA,1553618485,74,-1.58,14.26,26.44,0.86
Shenjiamen,8,CN,1553618433,89,29.96,122.3,12.74,6.16
Sur,0,OM,1553618486,77,22.57,59.53,25.64,5.21
Adrar,40,DZ,1553616720,37,27.87,-0.29,28.0,15.9
Oktyabrskiy,0,RU,1553617311,64,55.61,37.97,4.0,3.0
Semporna,75,MY,1553616000,94,4.48,118.61,24.0,1.0
Cabo San Lucas,20,MX,1553618447,27,22.89,-109.91,28.89,1.0
Sao Filipe,0,CV,1553618486,93,14.9,-24.5,22.04,5.41
West Wendover,1,US,1553615760,75,40.74,-114.07,6.0,1.61
Pangnirtung,20,CA,1553616000,65,66.15,-65.72,-14.0,1.5
Sinjar,0,SY,1553618486,63,35.59,37.0,10.79,5.31
Carroll,0,AU,1553616000,59,-30.99,150.44,19.0,6.2
Bubaque,0,GW,1553618487,87,11.28,-15.83,28.04,5.26
Nizwa,0,OM,1553618471,46,22.93,57.53,19.14,1.51
Santa Maria,40,BR,1553612400,56,-29.69,-53.81,22.0,2.6
Alexandria,1,US,1553618375,51,31.31,-92.44,18.89,4.6
Vasteras,44,SE,1553618355,41,59.62,16.55,5.56,2.6
Chokurdakh,48,RU,1553618329,70,70.62,147.9,-23.37,4.96
Gat,0,SN,1553616000,47,14.69,-16.54,25.0,6.7
Joensuu,0,FI,1553617200,68,62.6,29.76,-3.0,2.1
Banda Aceh,24,ID,1553618489,94,5.56,95.32,25.54,1.16
Mpika,44,ZM,1553618489,63,-11.84,31.4,21.39,2.21
Plettenberg Bay,36,ZA,1553618489,99,-34.05,23.37,17.84,6.46
Sehithwa,8,BW,1553618489,28,-20.47,22.7,29.49,3.51
Talnakh,88,RU,1553618489,87,69.49,88.39,-3.37,7.66
Grand Gaube,40,MU,1553618346,83,-20.01,57.66,28.0,3.1
Honiara,8,SB,1553618490,100,-9.43,159.96,21.64,1.16
Nalut,12,LY,1553618490,35,31.86,10.98,19.79,3.21
Xam Nua,24,LA,1553618490,95,20.42,104.04,16.99,0.86
Sangar,0,RU,1553618490,60,63.92,127.47,-21.97,1.16
San Quintin,0,PH,1553618490,74,17.54,120.52,17.99,1.11
Amapa,40,HN,1553616000,58,15.09,-87.97,29.0,5.1
Gorom-Gorom,64,BF,1553618490,17,14.45,-0.24,35.24,3.76
Nara,40,JP,1553617806,76,34.68,135.8,10.56,3.1
Aykhal,48,RU,1553618491,51,65.95,111.51,-17.97,1.86
Ust-Tsilma,88,RU,1553618491,84,65.44,52.15,-0.22,3.01
Matara,90,PE,1553616000,87,-13.74,-72.9,12.0,1.11
Fairbanks,90,US,1553618244,100,64.84,-147.72,2.78,1.86
Salinopolis,88,BR,1553618492,100,-0.61,-47.36,26.34,3.41
Bonavista,48,CA,1553617882,41,48.65,-53.11,-2.22,6.26
Yaan,12,NG,1553618492,48,7.38,8.57,33.29,1.31
La Ronge,90,CA,1553616000,69,55.1,-105.3,2.0,2.1
Kohima,36,IN,1553618492,92,25.66,94.1,13.84,0.81
Seymchan,68,RU,1553618492,60,62.93,152.39,-15.87,7.16
Ketchikan,1,US,1553615760,93,55.34,-131.65,5.0,2.6
Aksha,0,RU,1553618493,60,50.28,113.29,-13.27,1.71
Burns Lake,48,CA,1553618493,66,54.23,-125.76,2.29,1.26
Fairfield,20,US,1553618448,93,38.25,-122.04,13.33,4.1
Sumenep,76,ID,1553618467,98,-7.02,113.87,28.24,2.06
Semirom,0,IR,1553618481,77,31.41,51.57,0.04,2.61
Isla Vista,1,US,1553617477,93,34.41,-119.86,13.89,3.71
Alofi,88,NU,1553616000,78,-19.06,-169.92,26.0,3.6
San Juan,80,AR,1553618385,60,-31.54,-68.53,15.79,1.76
Jumla,0,NP,1553618496,92,29.28,82.18,-6.07,0.91
Pacific Grove,75,US,1553618416,76,36.62,-121.92,14.44,2.1
Quelimane,20,MZ,1553616000,69,-17.88,36.89,28.0,2.1
Khorramshahr,0,IR,1553616000,46,30.43,48.18,21.0,2.1
Namibe,0,AO,1553618497,100,-15.19,12.15,25.34,2.36
Port-Cartier,40,CA,1553618302,39,50.03,-66.88,-10.0,6.7
Okha,32,RU,1553618270,74,53.59,142.95,-12.37,5.11
Fort Morgan,0,US,1553618195,85,40.25,-103.8,12.78,2.6
Rocha,32,UY,1553618497,66,-34.48,-54.34,20.54,5.91
Karlskoga,0,SE,1553618476,33,59.33,14.52,7.0,3.6
Aasiaat,68,GL,1553618498,100,68.71,-52.87,-11.02,5.76
Ciechocinek,0,PL,1553618350,48,52.88,18.79,6.11,8.2
Pavino,0,RU,1553616000,63,55.02,82.61,-1.0,1.0
Kupang,68,ID,1553618499,97,-10.16,123.6,27.39,1.26
Requena,20,ES,1553618402,55,39.49,-1.1,17.0,4.6
Bilibino,80,RU,1553618232,73,68.06,166.44,-12.02,1.36
Bowen,75,AU,1553618414,94,-20.01,148.25,26.11,2.6
Tuburan,75,PH,1553616000,94,10.73,123.82,25.0,2.6
Saquena,0,PE,1553618500,48,-4.67,-73.52,34.89,1.41
Ambanja,80,MG,1553618500,98,-13.68,48.45,23.14,1.06
Port Blair,56,IN,1553618220,100,11.67,92.75,28.39,3.46
Hay River,75,CA,1553616000,81,60.82,-115.79,2.0,3.1
Sisimiut,44,GL,1553618270,83,66.94,-53.67,-9.52,0.86
Puyang,36,CN,1553618500,49,35.76,115.02,17.04,6.36
Campos,0,PT,1553618463,23,41.54,-8.28,23.33,4.6
Kawalu,92,ID,1553618501,99,-7.38,108.21,20.29,0.96
College,90,US,1553618461,100,64.86,-147.8,3.0,1.86
Kitgum,80,UG,1553618502,60,3.3,32.88,24.59,0.61
Bathsheba,20,BB,1553616000,58,13.22,-59.52,29.0,10.8
Saint-Francois,0,FR,1553617825,37,46.42,3.91,13.0,7.2
Portland,1,US,1553618354,81,45.52,-122.67,10.0,3.1
Bluefields,68,NI,1553618503,58,12.01,-83.77,29.39,2.51
Melito di Porto Salvo,0,IT,1553618496,51,37.92,15.77,17.0,7.7
Privolnyy,0,RU,1553618503,97,44.1,46.66,6.09,7.81
Vardo,1,US,1553618323,29,39.62,-77.74,7.22,6.2
Freeport,20,BS,1553616000,74,26.54,-78.7,27.0,5.7
Atherton,40,GB,1553618465,57,53.52,-2.49,11.11,7.2
Timizart,44,DZ,1553618504,66,36.8,4.25,10.29,1.11
Lensk,36,RU,1553618504,76,60.71,114.91,-11.82,1.56
Kaliua,12,TZ,1553618504,90,-5.06,31.79,21.39,1.81
Iracoubo,88,GF,1553618504,66,5.48,-53.21,28.29,2.76
Abu Samrah,0,SY,1553618505,63,35.3,37.18,10.79,5.31
Warwick,20,US,1553618333,20,41.7,-71.42,6.67,6.2
Sao Lourenco do Sul,40,BR,1553616000,73,-31.37,-51.98,22.0,4.1
San Patricio,8,PY,1553618506,53,-26.98,-56.83,24.64,2.71
Kholtoson,0,RU,1553618506,60,50.3,103.31,-16.97,1.11
Visnes,75,NO,1553618405,93,59.36,5.22,7.0,7.7
Manikling,40,PH,1553616000,78,6.87,126.09,26.0,2.1
Schwarzenbach,75,DE,1553618475,55,49.84,12.38,7.22,6.7
Bambous Virieux,40,MU,1553618346,83,-20.34,57.76,28.0,3.1
Touros,40,BR,1553616000,62,-5.2,-35.46,32.0,6.7
Clyde River,40,CA,1553616000,59,70.47,-68.59,-18.0,7.2
Iquitos,40,PE,1553616000,319,-3.75,-73.25,6.0,2.1
Kamaishi,0,JP,1553618507,61,39.28,141.86,2.34,6.46
Vanavara,64,RU,1553618507,86,60.35,102.28,-6.22,2.26
Tambun,75,MY,1553616000,88,4.62,101.14,28.0,0.81
Ribeira Grande,20,PT,1553616000,77,38.52,-28.7,18.0,3.6
Udachnyy,88,RU,1553618508,74,66.42,112.4,-11.67,2.21
Nanortalik,80,GL,1553618249,100,60.14,-45.24,-4.42,8.71
Erzin,40,TR,1553617200,67,36.95,36.2,16.11,3.1
Santa Cruz,90,US,1553618456,100,36.97,-122.03,14.44,1.16
Kaeo,56,NZ,1553618285,94,-35.1,173.78,13.33,3.86
Verkhoyansk,0,RU,1553618407,31,67.55,133.39,-30.12,1.16
Parana,75,BR,1553616000,70,-7.52,-72.89,31.0,1.66
Lat Yao,68,TH,1553618214,93,15.75,99.79,31.11,1.76
Catazaja,40,MX,1553615340,74,17.73,-92.02,27.0,1.96
Chiredzi,48,ZW,1553618510,88,-21.05,31.67,22.29,2.51
Tuatapere,92,NZ,1553618405,66,-46.13,167.69,15.0,1.79
Siuna,0,NI,1553618511,62,13.73,-84.78,28.89,2.16
Srivardhan,0,IN,1553618511,98,18.03,73.02,23.44,2.11
Tutoia,40,BR,1553616000,44,-2.76,-42.27,34.0,3.6
Edd,0,ER,1553618511,71,13.93,41.69,24.99,2.76
Lashio,0,MM,1553618511,84,22.93,97.75,17.49,0.61
Yerofey Pavlovich,20,RU,1553618512,64,53.97,121.97,-13.77,1.31
Mayo,20,CA,1553616000,92,63.59,-135.9,-3.0,3.1
Matagami,24,NG,1553618512,22,9.67,8.4,28.39,2.96
Rudsar,90,IR,1553616000,93,37.14,50.29,9.0,1.0
Moussoro,0,TD,1553618512,15,13.64,16.49,31.24,5.41
Sawtell,90,AU,1553618293,78,-30.38,153.1,22.0,6.2
Saint-Louis,20,CH,1553618390,46,47.59,7.56,10.56,6.2
Jalu,0,LY,1553618338,28,29.03,21.55,19.24,4.36
Juquitiba,20,BR,1553616628,57,-23.93,-47.07,30.0,5.1
Nueva Imperial,0,CL,1553617840,35,-38.75,-72.95,26.67,1.34
Aquiraz,40,BR,1553617593,83,-3.9,-38.39,27.22,1.0
Mazagao,75,BR,1553616000,88,-0.12,-51.29,27.0,2.6
Barghat,0,IN,1553618513,40,22.03,79.74,22.74,4.26
Privas,0,FR,1553618407,32,44.74,4.6,15.0,13.9
Turukhansk,12,RU,1553618513,81,65.8,87.96,-4.47,7.66
Marawi,0,PH,1553617956,87,8.0,124.29,23.33,3.13
Dhidhdhoo,0,MV,1553618514,100,6.88,73.1,29.39,2.86
Port Hardy,90,CA,1553616000,93,50.7,-127.42,7.0,1.5
Ulladulla,0,AU,1553617913,81,-35.36,150.48,12.22,3.6
Zeya,8,RU,1553618514,45,53.74,127.27,-12.27,3.06
Mendoza,40,AR,1553616000,51,-32.89,-68.84,17.0,4.6
Araouane,92,ML,1553618514,14,18.9,-3.53,36.39,5.11
Richards Bay,92,ZA,1553618514,90,-28.77,32.06,20.54,3.81
Deep River,1,CA,1553617897,46,46.1,-77.49,0.56,3.6
Kingman,1,US,1553618316,25,35.19,-114.05,17.78,1.76
Guerrero Negro,44,MX,1553618259,76,27.97,-114.04,19.54,2.81
Coquimbo,90,CL,1553616000,87,-29.95,-71.34,14.0,4.1
Mayumba,0,GA,1553618515,92,-3.44,10.65,27.74,4.06
Viedma,0,AR,1553618497,51,-40.81,-62.99,19.99,3.46
Tilichiki,56,RU,1553618515,77,60.47,166.1,-9.37,3.76
Zhelyabovka,0,UA,1553618515,80,45.4,34.76,7.94,2.96
Ossora,76,RU,1553618515,89,59.24,163.07,-9.57,3.36
